animal	treatment	genetics	tank	dose	TE	Binary							
413	2	1	14	2	5	1							
414	2	1	14	2	5	1							
415	2	1	14	2	5	1							
416	2	1	14	2	5	1							
417	2	1	14	2	5	1							
418	2	1	14	2	5	1							
419	2	1	14	2	6	0							
420	2	1	14	2	6	0							
421	2	1	14	2	6	0							
422	2	1	14	2	6	0							
423	2	1	14	2	6	0							
424	2	1	14	2	6	0							
425	2	1	14	2	6	0							
426	2	1	14	2	6	0							
427	2	1	14	2	6	0							
428	2	1	14	2	6	0							
429	2	1	14	2	6	0							
430	2	1	14	2	6	0							
431	2	1	14	2	6	0							
432	2	1	14	2	6	0							
433	2	2	15	2	3	1							
434	2	2	15	2	3	1							
435	2	2	15	2	3	1							
436	2	2	15	2	3	1							
437	2	2	15	2	3	1							
438	2	2	15	2	4	1							
439	2	2	15	2	4	1							
440	2	2	15	2	4	1							
441	2	2	15	2	4	1							
442	2	2	15	2	4	1							
443	2	2	15	2	4	1							
444	2	2	15	2	4	1							
445	2	2	15	2	4	1							
446	2	2	15	2	4	1							
447	2	2	15	2	4	1							
448	2	2	15	2	4	1							
449	2	2	15	2	4	1							
450	2	2	15	2	4	1							
451	2	2	15	2	4	1							
452	2	2	15	2	5	1							
453	2	2	15	2	5	1							
454	2	2	15	2	5	1							
455	2	2	15	2	5	1							
456	2	2	15	2	5	1							
457	2	2	15	2	5	1							
458	2	2	15	2	5	1							
459	2	2	15	2	5	1							
460	2	2	15	2	6	0							
461	2	2	15	2	6	0							
462	2	2	15	2	6	0							
463	2	2	15	2	6	0							
464	2	2	15	2	6	0							
465	2	2	15	2	6	0							
466	2	2	15	2	6	0							
467	2	2	15	2	6	0							
468	2	2	15	2	6	0							
469	2	2	15	2	6	0							
470	2	2	15	2	6	0							
471	2	2	15	2	6	0							
472	2	2	15	2	6	0							
473	2	2	15	2	6	0							
474	2	2	15	2	6	0							
475	2	2	15	2	6	0							
476	2	2	15	2	6	0							
477	2	2	15	2	6	0							
478	2	2	15	2	6	0							
479	2	2	15	2	6	0							
480	2	2	15	2	6	0							
481	2	1	16	2	3	1							
482	2	1	16	2	3	1							
483	2	1	16	2	3	1							
484	2	1	16	2	3	1							
485	2	1	16	2	3	1							
486	2	1	16	2	3	1							
487	2	1	16	2	3	1							
488	2	1	16	2	4	1							
489	2	1	16	2	4	1							
490	2	1	16	2	4	1							
491	2	1	16	2	4	1							
492	2	1	16	2	4	1							
493	2	1	16	2	4	1							
494	2	1	16	2	4	1							
495	2	1	16	2	4	1							
496	2	1	16	2	4	1							
497	2	1	16	2	4	1							
498	2	1	16	2	4	1							
499	2	1	16	2	4	1							
500	2	1	16	2	5	1							
501	2	1	16	2	5	1							
502	2	1	16	2	5	1							
503	2	1	16	2	5	1							
504	2	1	16	2	5	1							
505	2	1	16	2	5	1							
506	2	1	16	2	5	1							
507	2	1	16	2	5	1							
508	2	1	16	2	5	1							
509	2	1	16	2	5	1							
510	2	1	16	2	5	1							
511	2	1	16	2	5	1							
512	2	1	16	2	5	1							
513	2	1	16	2	6	0							
514	2	1	16	2	6	0							
515	2	1	16	2	6	0							
516	2	1	16	2	6	0							
517	2	1	16	2	6	0							
518	2	1	16	2	6	0							
519	2	1	16	2	6	0							
520	2	1	16	2	6	0							
521	2	1	16	2	6	0							
522	2	1	16	2	6	0							
523	2	1	16	2	6	0							
524	2	1	16	2	6	0							
525	2	1	16	2	6	0							
526	2	1	16	2	6	0							
527	2	1	16	2	6	0							
528	2	1	16	2	6	0							
529	2	2	17	2	3	1							
530	2	2	17	2	3	1							
531	2	2	17	2	3	1							
532	2	2	17	2	3	1							
533	2	2	17	2	3	1							
534	2	2	17	2	3	1							
535	2	2	17	2	3	1							
536	2	2	17	2	3	1							
537	2	2	17	2	3	1							
538	2	2	17	2	3	1							
539	2	2	17	2	4	1							
540	2	2	17	2	4	1							
541	2	2	17	2	4	1							
542	2	2	17	2	4	1							
543	2	2	17	2	4	1							
544	2	2	17	2	4	1							
545	2	2	17	2	4	1							
546	2	2	17	2	4	1							
547	2	2	17	2	4	1							
548	2	2	17	2	4	1							
549	2	2	17	2	4	1							
550	2	2	17	2	4	1							
551	2	2	17	2	4	1							
552	2	2	17	2	5	1							
553	2	2	17	2	5	1							
554	2	2	17	2	5	1							
555	2	2	17	2	5	1							
556	2	2	17	2	5	1							
557	2	2	17	2	5	1							
558	2	2	17	2	5	1							
559	2	2	17	2	5	1							
560	2	2	17	2	5	1							
561	2	2	17	2	5	1							
562	2	2	17	2	5	1							
563	2	2	17	2	5	1							
564	2	2	17	2	5	1							
565	2	2	17	2	5	1							
566	2	2	17	2	5	1							
567	2	2	17	2	6	0							
568	2	2	17	2	6	0							
569	2	2	17	2	6	0							
570	2	2	17	2	6	0							
571	2	2	17	2	6	0							
572	2	2	17	2	6	0							
573	2	2	17	2	6	0							
574	2	2	17	2	6	0							
575	2	2	17	2	6	0							
576	2	2	17	2	6	0							
577	2	2	18	2	3	1							
578	2	2	18	2	3	1							
579	2	2	18	2	3	1							
580	2	2	18	2	3	1							
581	2	2	18	2	3	1							
582	2	2	18	2	3	1							
583	2	2	18	2	3	1							
584	2	2	18	2	3	1							
585	2	2	18	2	4	1							
586	2	2	18	2	4	1							
587	2	2	18	2	4	1							
588	2	2	18	2	4	1							
589	2	2	18	2	4	1							
590	2	2	18	2	4	1							
591	2	2	18	2	4	1							
592	2	2	18	2	4	1							
593	2	2	18	2	4	1							
594	2	2	18	2	4	1							
595	2	2	18	2	4	1							
596	2	2	18	2	4	1							
597	2	2	18	2	4	1							
598	2	2	18	2	4	1							
599	2	2	18	2	4	1							
600	2	2	18	2	4	1							
601	2	2	18	2	4	1							
602	2	2	18	2	4	1							
603	2	2	18	2	5	1							
604	2	2	18	2	5	1							
605	2	2	18	2	5	1							
606	2	2	18	2	5	1							
607	2	2	18	2	5	1							
608	2	2	18	2	5	1							
609	2	2	18	2	5	1							
610	2	2	18	2	5	1							
611	2	2	18	2	5	1							
612	2	2	18	2	5	1							
613	2	2	18	2	5	1							
614	2	2	18	2	5	1							
615	2	2	18	2	5	1							
616	2	2	18	2	5	1							
617	2	2	18	2	5	1							
618	2	2	18	2	5	1							
619	2	2	18	2	5	1							
620	2	2	18	2	5	1							
621	2	2	18	2	6	0							
622	2	2	18	2	6	0							
623	2	2	18	2	6	0							
624	2	2	18	2	6	0							
625	3	2	19	2	3	1							
626	3	2	19	2	3	1							
627	3	2	19	2	3	1							
628	3	2	19	2	3	1							
629	3	2	19	2	3	1							
630	3	2	19	2	3	1							
631	3	2	19	2	3	1							
632	3	2	19	2	3	1							
633	3	2	19	2	3	1							
634	3	2	19	2	3	1							
635	3	2	19	2	4	1							
